región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Ucayali,2.1807274991930914,11.711453957996767,44.938144329896915,127.53925345190731,0,0,0,2021
Madre de Dios,2.205602096966909,17.23806682577566,65.00239700178214,161.29084841379313,0,0,0,2021
Tumbes,2.5073180956368137,11.524861895551258,48.725242130329406,152.36231443838832,10.764478106375122,0,0,2020
Piura,2.2420695556133445,13.984122109105751,52.30881447239755,149.05371181402782,13.747601303861353,0,0,2020
Lambayeque,2.211303826225173,15.93985119342383,54.197084918038776,145.55868620429968,15.036561542228991,0,0,2020
La Libertad,2.254661113609127,13.25469994324306,58.12672373276542,141.54693784667194,12.268955119403389,31.157993543758963,0,2020
Cajamarca,2.111326089867933,11.383927701049938,43.378403178044806,132.21936859651242,10.753651665311939,0,0,2020
Amazonas,2.0703396031876498,15.892537313432843,56.52610310943444,151.15747348778774,12.643328550932567,0,0,2020
Ancash,2.2903635173909507,9.655222018632182,32.25768303340094,142.3946874914718,10.738724215809283,25.669799057140697,0,2020
Lima,2.3434151472517417,12.26665824854335,63.97163977051569,192.5276950423669,13.281440161947632,27.272989977728287,29.978996080139368,2020
Ica,2.1716825263846236,11.902433660311546,51.61620576989123,136.33523111026906,14.48451487603306,0,0,2020
Huánuco,2.076078583581458,11.234129525383462,35.442512844667235,167.8627562660831,10.28176776578823,26.333363705391044,0,2020
Pasco,2.140088394705079,12.484944093869819,36.58659912564413,160.5090445244957,11.516305759162304,21.89622445054945,27.987283843361,2020
Junín,2.2330117908260902,10.741145455297607,44.550749589072154,131.24321949071108,11.325165382718696,22.38626594131811,27.55214571546847,2020
Huancavelica,2.034869970707455,13.496112833146896,38.87742875277924,116.27745046547149,13.194385864090155,25.999275950214738,33.97872852646706,2020
Arequipa,2.211309258139052,14.580504802765034,56.044834624369855,163.36052585451358,12.212188365650968,24.548748610909797,34.49064624308892,2020
Moquegua,2.0635918582628783,19.249973928157594,47.342331990820966,206.53076199677938,16.63524374176548,31.235425809822367,42.8217101226994,2020
Tacna,2.291459257743671,23.260524091293323,40.14328821450125,190.71608124018837,14.88672598510986,28.46363911778963,29.445231958762886,2020
Ayacucho,2.062696781396104,11.744101301339336,44.89949410092134,123.34209351635448,11.72031649805141,26.91149146300636,29.614370801033594,2020
Apurímac,2.0013809105481624,11.277562770582032,38.89589014037821,110.55161147117164,10.543656495375105,24.255780645689306,30.047484429337057,2020
Cusco,2.1531971971869712,12.682440569985943,43.164651302414214,152.77603735444012,12.822769077802636,26.64463579709174,29.644704274738302,2020
Puno,2.000432960462988,13.915550912224788,33.665354025218235,143.7814370199171,0,27.712455184282227,38.73767676261158,2020
